"4,4,3,3,5,4","1,2,3,4,5,6","114496,36625,11736,5624,9356,8235","4033,6397,2894,8274,2980,2704",A2KWEVSI7P1RGQ,Desktop,25 - 31,Cable network,None,
"5,4,3,5,3,3","1,2,3,4,5,6","24788,10039,6955,6000,6745,3477","12886,14282,2345,2531,3412,2317",A2TUUIV61CR0C7,Desktop,60 and above,WiFi,The buzzer shot was the most scene in this video.,
"5,2,1,4,4,4","1,2,3,4,5,6","25473,16756,12974,12050,11736,10941","13053,12472,5148,3415,6191,7501",A2U53YHFUIT60P,Laptop,25 - 31,Cable network,some of then can show the important part,
"5,4,4,3,5,3","1,2,3,4,5,6","35997,8593,10879,11588,8784,8577","22815,8763,5354,9581,3549,3884",A2UHK8HUXXMSVM,Desktop,25 - 31,Cable network,Pass and throw like something that caught my attention,
"5,5,5,5,5,5","1,2,3,4,5,6","34615,16219,14614,15053,5675,21419","47111,12965,5538,5681,12636,11839",A2WJMGV0HKQG3Z,Laptop,60 and above,WiFi,none,
"2,2,3,5,4,4","1,2,3,4,5,6","59528,30802,20924,24431,24923,17874","7664,6638,4237,6534,7318,4504",A2ZC4GG4ZU528L,Laptop,32 - 38,WiFi,None,
"5,2,1,2,2,2","1,2,3,4,5,6","26910,10265,11121,11244,14416,9495","4994,4438,5521,3769,4145,4025",A30N5H4N4C22N8,Desktop,25 - 31,WiFi,None,
"5,4,4,5,2,4","1,2,3,4,5,6","31013,12265,11672,10723,10339,9316","11577,11410,9447,8724,5908,5090",A31U7VGTEOY2RG,Laptop,46 - 52,WiFi,I look to see if a particular clip affected the outcome or not. I feel the basketball in the goal was the most important.,
"5,5,5,5,5,4","1,2,3,4,5,6","294584,13401,20035,15490,16909,15372","23109,5485,4994,9290,4359,14766",A33GRV0XTXK6CC,Smart phone,60 and above,Cellular network,None,
"4,4,4,4,4,4","1,2,3,4,5,6","116911,9747,6139,9941,7273,8538","3619,5561,3689,2983,2989,2876",A3J08ETUZNPUF3,Laptop,25 - 31,Cable network,none,
"5,3,4,4,4,3","1,2,3,4,5,6","38302,29068,24410,14662,15186,28569","7824,6107,5306,5292,8586,3348",A3K27VN3NJEV60,Desktop,25 - 31,Cellular network,good,
"5,5,4,3,4,4","1,2,3,4,5,6","26094,8475,8332,7792,8590,8617","3241,2610,3025,3122,2985,3338",A3K6LZAQZOAPB2,Laptop,25 - 31,Cable network,none,
"4,4,4,4,4,4","1,2,3,4,5,6","18546,15295,16928,12378,11909,12252","7345,4178,7185,9403,5247,8203",A3KL7XSJ2PO5IR,Laptop,39 - 45,WiFi,good,
"5,4,4,4,2,4","1,2,3,4,5,6","127696,13016,10794,10616,12693,11535","49166,14036,4315,4748,7458,4362",A3MF5GN0AFDWGN,Laptop,18 - 24,WiFi,important parts according to the entire video,
"5,3,3,3,4,2","1,2,3,4,5,6","24672,12469,8881,9472,9471,13732","42783,26996,4956,5023,3462,9572",A3NBJ2WSWYJPWY,Desktop,25 - 31,Cable network,None,
"4,4,5,5,5,5","1,2,3,4,5,6","38176,49810,9204,9099,13164,10296","4263,5413,4070,4151,3780,4056",A3NNWJI1G86RJ2,Laptop,25 - 31,Cable network,none,
"5,5,4,5,4,5","1,2,3,4,5,6","26144,9446,10000,18117,19278,9434","3562,6847,3341,5225,5433,4503",A3PQ5Q456J981M,Desktop,25 - 31,Cable network,none,
"5,2,4,4,2,3","1,2,3,4,5,6","35917,9098,9975,9387,8731,8585","16190,17372,7165,3609,5236,6874",A6AB1O0UYB7PI,Laptop,32 - 38,WiFi,The importance of what was been done in each clip. Went with my gut feeling,
"5,4,4,5,4,4","1,2,3,4,5,6","27287,8526,8870,8866,8138,8200","11497,14777,3830,2031,4493,2081",A7RHFLD74J0CU,Smart phone,39 - 45,WiFi,"Important to me was whether it helped the story be understood, and move forward.",
"5,4,4,4,4,2","1,2,3,4,5,6","95966,9775,9611,12547,9978,9892","25205,10250,7511,3041,3710,3454",AEQ6KLNVTRKKR,Laptop,32 - 38,WiFi,Whether I thought the next frame would be important and how much it was of interest to see it or not.,
"5,5,5,5,4,2","1,2,3,4,5,6","22867,8569,6911,6844,6477,6569","5924,7506,2176,1688,2059,3614",AKSJ3C5O3V9RB,Desktop,18 - 24,WiFi,If the clip made me wonder what was going to happen next,
"5,5,5,5,5,5","1,2,3,4,5,6","8789,7642,7235,6843,7336,9277","7934,4812,5593,4664,11100,4580",ANUAABBJ5A9OU,Laptop,32 - 38,WiFi,none,
"5,2,4,5,3,1","1,2,3,4,5,6","29038,10350,10602,9148,9730,10182","25779,9048,18374,7576,11456,7044",APY7Y08CHOZDP,Laptop,60 and above,WiFi,If it seemed complete so you could know what happened. It was finished.,

