"5,0,0,5,0,0",n,"19960,4000,4000,4000,4000,4000",,,,,,,Reject
"5,4,3,4,3,3","1,2,3,4,5,6","73272,8373,8783,8553,8353,8222","7183,3295,3670,3200,3165,3300",A2U0JT7TSIIXPS,Desktop,32 - 38,WiFi,None,
"5,5,5,4,5,5","1,2,3,4,5,6","51926,11986,12138,15800,12616,11946","11988,5640,6341,24630,4863,6646",A1K1YOUOJ2P57H,Laptop,25 - 31,WiFi,NONE,
"5,2,3,3,2,3","1,2,3,4,5,6","49083,13809,18334,16601,16021,31270","10953,35672,5571,5031,5472,5374",A1DIXDR0Y7KXMT,Desktop,32 - 38,Cellular network,Video time & focus,
"5,4,5,4,4,5","1,2,3,4,5,6","39853,9647,9153,10930,10094,9768","5730,42107,3480,4541,5820,8522",ATBBPV37O4K6N,Laptop,32 - 38,Cable network,None,
"5,2,3,3,3,3","1,2,3,4,5,6","33889,40158,19786,22492,15259,16178","7837,6139,3986,5300,4490,12182",A6PO7JT39QQGP,Laptop,25 - 31,Cellular network,Video time & focus,
"5,3,3,3,3,3","1,2,3,4,5,6","28691,21037,11078,11518,13265,13558","7305,4754,3393,2824,3385,7354",A3TPW4JUUJDUFI,Desktop,25 - 31,Cable network,None,
"4,2,2,4,2,3","1,2,3,4,5,6","23923,7343,6443,6528,6645,6329","26591,2581,1695,2274,1456,1514",A30MP4LXV4MIFD,Desktop,32 - 38,Cable network,"How impactful it was, or how easy it was to logically follow.",
"4,2,1,5,2,2","1,2,3,4,5,6","29904,13376,12928,9224,10439,7945","9051,3535,4959,3139,3217,3755",A3CH1Z6J9R38G9,Laptop,25 - 31,WiFi,The clip with the actual free throw was the important one. The rest.... eh....,
"5,4,3,4,4,4","1,2,3,4,5,6","29531,25110,19957,36669,27545,10476","4016,2848,5842,5271,4160,3611",A3J08ETUZNPUF3,Desktop,25 - 31,Cable network,none,
"4,3,3,4,4,4","1,2,3,4,5,6","29952,17631,18226,12650,18408,15965","8894,3811,10818,4791,3618,7490",AJ2IR00DZSE2V,Desktop,32 - 38,Cable network,None,
"4,1,1,4,1,1","1,2,3,4,5,6","31158,8730,7599,7236,6639,6731","17739,2351,6704,2091,1581,2246",A2SO6K35NMGBB7,Desktop,39 - 45,Cable network,I based it on if the most meaningful part of the video was shown or not.,
"5,5,5,5,5,5","1,2,3,4,5,6","34383,14155,13097,12972,10071,10903","25380,18625,17734,12138,13602,58888",A3NUSK53RHPJAA,Desktop,25 - 31,WiFi,NONE,
"5,1,1,3,1,1","1,2,3,4,5,6","31594,8376,8878,8457,8061,7791","55182,11513,7371,7668,3248,2926",AVD6HMIO1HLFI,Desktop,25 - 31,Cable network,"Not sure how to answer this, or any of the other questions for that matter.  Very vague instructions.",
"5,5,5,5,5,5","1,2,3,4,5,6","31635,20143,10073,10436,22835,11418","7136,16870,12743,7302,8422,6614",ALCSNULDVTDFF,Laptop,25 - 31,WiFi,playing video clips very well,
"5,4,4,5,2,2","1,2,3,4,5,6","33362,11828,9385,7293,7156,7493","32697,5552,3110,2862,3536,3980",A38ZV8LBZ034IZ,Laptop,53 - 59,WiFi,"I looked at what was happening, a shot about to be performed or a goal and decided this was more important than the aftermath",
"5,5,5,5,5,5","1,2,3,4,5,6","10730,17838,7031,6514,13819,10187","6575,4013,4005,8342,4390,5710",ATXUM0GBU5MC8,Laptop,25 - 31,Cable network,None,
"5,2,2,2,2,2","1,2,3,4,5,6","33568,14155,14092,7390,13170,5509","27136,4937,3791,10197,11291,12522",AJ8ORVSVTALUD,Smart phone,25 - 31,Cellular network,ALL VIDEOS ARE IMPORTANT FOR ME ,
"5,2,3,5,4,2","1,2,3,4,5,6","27912,9468,8047,7847,8949,8506","40514,11305,10489,6009,7300,3256",A3095ABT1L25QK,Desktop,32 - 38,WiFi,I was looking to see if the clip contained important information about the game.,
"5,5,5,5,5,5","1,2,3,4,5,6","31734,22100,10520,16735,9606,7799","8367,5176,4359,3255,11077,3646",A2AGQGMZVSZVUJ,Desktop,46 - 52,Cable network,It had an important event in it.,
"5,5,5,5,5,5","1,2,3,4,5,6","54827,33322,11849,17978,12553,11780","26012,19955,7354,8620,7640,11759",AX1TWZNM2XLYO,Laptop,18 - 24,WiFi,None,
"5,5,5,5,4,5","1,2,3,4,5,6","32826,9885,13929,14570,12824,8917","19904,7245,11644,9982,13190,21584",A2519LCLPN7Y6I  ,Computador portátil,32 - 38,Wi-fi, none,
