"5,5,0,5,-1,0",n,"4010,4010,4010,4010,20020,4010"
"5,5,4,4,4,5","1,2,3,4,5,6","103642,20002,67128,10194,8070,7797","4019,2794,2990,2861,2669,2752",A86CAG3LG83GG,மடிக்கணினி,25 - 31,கேபிள் நெட்வொர்க்,i saw the quality of the video
"4,3,4,4,3,4","1,2,3,4,5,6","32230,11953,11391,11126,9322,10045","7036,5539,4185,8897,3960,3757",A2UC4H3EHIMWGC,Desktop,25 - 31,Cable network,None
"5,4,5,4,2,5","1,2,3,4,5,6","25426,8545,8183,6830,8592,7216","20676,26338,9065,2459,2857,2940",A9WIOFVRSYW3L,Desktop,39 - 45,WiFi,If videos were not complete I was more curious how it will end. 
"5,4,4,4,5,3","1,2,3,4,5,6","31029,11478,10521,13866,10510,12927","16625,6550,5417,4577,4688,20302",AZBS0MVCBSCGY,Desktop,25 - 31,Cable network,None
"5,3,4,5,2,4","1,2,3,4,5,6","38415,7531,7387,6720,6247,6400","19604,13832,2522,2377,2294,1875",A2SOHTPWH4VGP5,Desktop,25 - 31,WiFi,I thought there were scenes of action that were necessary to understand the video
"4,1,2,4,1,1","1,2,3,4,5,6","53587,14479,16128,8833,9849,8276","19138,8047,20241,8374,3337,10554",AU0KL60G7FCCK,Tablet,53 - 59,WiFi,How much content there was 
"4,3,3,5,4,3","1,2,3,4,5,6","37100,19390,17534,24260,20655,15023","14265,8771,6520,5215,7431,6826",A217SPPLMXP0CH,Laptop,25 - 31,WiFi,none
"4,5,4,4,4,4","1,2,3,4,5,6","37530,11840,12311,24683,11032,10310","9734,15683,11093,5760,5006,5692",A1I191EFSS3UDR,Laptop,32 - 38,Cable network,"""None"""
"5,2,4,5,3,2","1,2,3,4,5,6","63950,12556,13428,10310,14379,12464","37447,30693,11415,16603,17241,11562",AEQI66Y2JSY05,Desktop,46 - 52,WiFi,"How relevant it is to the purpose of the video, which seems to be to record a stunt jump. The clip which shows the actual jump is thus the most important."
"5,5,5,4,5,5","1,2,3,4,5,6","34346,25587,28618,88149,9681,10915","4827,4365,4222,4429,4679,4981",A2KWEVSI7P1RGQ,Laptop,25 - 31,Cable network,None
"2,3,2,4,4,4","1,2,3,4,5,6","191625,58018,39165,24022,23551,20321","24835,9130,8785,5303,7775,4587",A2PSVTKXPTTF60,Laptop,39 - 45,WiFi,the video quality
"5,4,4,4,2,3","1,2,3,4,5,6","22940,7630,7321,6818,7445,7265","13400,10102,1980,2429,3916,7391",A26NGLGGFTATVN,Desktop,32 - 38,WiFi,Whether or not the part of the video added to the viewing experience or was relevant.
"5,4,4,3,2,4","1,2,3,4,5,6","25071,8464,8940,7604,7287,7017","10898,9371,8242,4192,2556,6139",AKSJ3C5O3V9RB,Desktop,18 - 24,WiFi,If the clip made me wonder what was going to happen next
"3,5,3,4,2,2","1,2,3,4,5,6","27297,18502,9945,8816,9101,7955","11350,21689,7572,6130,3404,2813",A2LCRHTK0WQEOM,Laptop,18 - 24,WiFi,None
"5,1,4,4,2,4","1,2,3,4,5,6","34597,14822,13256,11883,34309,21387","37775,21729,11743,6739,20218,22723",A3MF5GN0AFDWGN,Laptop,18 - 24,WiFi,The content of the video in total and what happens in each part of the clippings made
"5,2,3,5,2,2","1,2,3,4,5,6","31689,13024,13055,10496,11389,8884","41645,15748,7244,17232,3494,6669",A3OZ8KF0HWSVWK,Tablet,53 - 59,WiFi,If the clip showed the major action (dunking) important to the video. 
"5,4,1,4,5,5","1,2,3,4,5,6","40143,9758,71184,14528,21015,15881","3329,3144,3917,3226,12966,8914",A3W5BTNHDA9U64,Laptop,25 - 31,Cable network,None
"3,3,2,2,2,2","1,2,3,4,5,6","29159,11341,13611,11609,11399,13681","10958,6701,12063,8596,7360,5400",AC54HUSIFWSP,Laptop,25 - 31,WiFi,none
"4,4,5,4,4,5","1,2,3,4,5,6","29844,33034,12305,9919,9477,9930","20258,7758,3842,6779,4500,3587",A1HY9HILD6BMF7,Desktop,32 - 38,Cable network,none
"5,5,5,5,5,5","1,2,3,4,5,6","20412,5861,6934,4903,6072,5437","7745,6554,6197,6102,6251,5844",A1JWVT9JBWD3KC,Desktop,25 - 31,WiFi,good
"5,4,4,4,4,3","1,2,3,4,5,6","93148,118902,56648,35511,31887,47640","10576,29407,9157,6992,10835,8234",A1OX5KXDZAVQPJ,Desktop,39 - 45,Cable network,none
"4,2,2,4,2,5","1,2,3,4,5,6","350764,12325,7844,7468,6961,6511","5013,4113,4835,1764,1286,4142",A1USDMJVT10CE4,Desktop,32 - 38,WiFi,If there was any action going on.
"5,5,5,5,5,5","1,2,3,4,5,6","65485,16914,14276,74176,26529,8039","3175,5071,4493,4788,3368,3103",A1VPSWYSCJYPEB,Laptop,25 - 31,Cable network,none
"5,5,5,5,5,5","1,2,3,4,5,6","16714,8036,15079,11169,10541,9077","9158,4762,4565,3555,4099,4296",AYMJAMX7Z7YHG,Desktop,25 - 31,Cable network,none
"5,4,4,4,3,3","1,2,3,4,5,6","36076,59097,27710,46861,24798,15401","12051,8513,5093,6868,7852,4268",A3K2VLYC2UX2DN,Desktop,32 - 38,WiFi,none
"5,4,4,4,4,2","1,2,3,4,5,6","26550,8136,7377,7113,7257,7484","24549,9575,4180,3363,2417,6393",A3UV55HC87DO9C,Laptop,25 - 31,WiFi,"If it was the beginning, end or middle of the clip. Also camera angles."
